Guesses,Time,Wordle,FinalWord,Matching,TotalTime
4,0.12433481216430664,leapt,leapt,True,
5,0.11908292770385742,depot,depot,True,
4,0.1138761043548584,death,death,True,
5,0.13746309280395508,watch,watch,True,
5,0.11069607734680176,unify,unify,True,
5,0.11273884773254395,gorge,gorge,True,
5,0.12332892417907715,prove,prove,True,
4,0.1222829818725586,irate,irate,True,
4,0.09323787689208984,sissy,sissy,True,
5,0.10529780387878418,bleed,bleed,True,
4,0.10641622543334961,anger,anger,True,
4,0.1139070987701416,crane,crane,True,
4,0.1106729507446289,guard,guard,True,
5,0.11984515190124512,other,other,True,
5,0.12049674987792969,crime,crime,True,
3,0.10127496719360352,agile,agile,True,
4,0.11182403564453125,stick,stick,True,
6,0.11763691902160645,totem,totem,True,
5,0.12697601318359375,repay,repay,True,
4,0.11225318908691406,sloth,sloth,True,
5,0.12371706962585449,denim,denim,True,
5,0.1115260124206543,onset,onset,True,
5,0.107421875,beefy,beefy,True,
5,0.11275410652160645,ratio,ratio,True,
5,0.10947418212890625,crept,crept,True,
5,0.10947394371032715,ditto,ditto,True,
3,0.10334300994873047,cider,cider,True,
4,0.10460400581359863,month,month,True,
6,0.11036205291748047,guppy,puppy,False,
5,0.10576391220092773,gloat,gloat,True,
6,0.13578104972839355,brake,brake,True,
3,0.09677600860595703,abyss,abyss,True,
3,0.09885883331298828,offal,offal,True,
3,0.1062922477722168,flesh,flesh,True,
5,0.11742687225341797,pride,pride,True,
5,0.10338425636291504,agate,agate,True,
5,0.12199282646179199,stink,stink,True,
3,0.09952473640441895,glyph,glyph,True,
4,0.10895776748657227,quart,quart,True,
5,0.12276482582092285,unfed,unfed,True,
5,0.12520503997802734,heady,heady,True,
5,0.11632108688354492,clown,clown,True,
5,0.10650086402893066,thyme,thyme,True,
4,0.10506391525268555,broke,broke,True,
5,0.12438082695007324,tepid,tepid,True,
5,0.11433577537536621,hotel,hotel,True,
5,0.1233987808227539,strap,strap,True,
4,0.11023092269897461,scour,scour,True,
4,0.10239529609680176,beset,beset,True,
4,0.10864830017089844,grade,grade,True,
6,0.12941694259643555,admit,admit,True,
3,0.10788679122924805,rebut,rebut,True,
6,0.11717510223388672,needy,needy,True,
4,0.09965205192565918,about,about,True,
5,0.11372709274291992,tract,tract,True,
5,0.1127018928527832,erode,erode,True,
4,0.1047818660736084,essay,essay,True,
6,0.13364601135253906,corny,corny,True,
3,0.10323596000671387,untie,untie,True,
5,0.1117401123046875,whack,whack,True,
